"id","geom","grid_id","p_val","p_m","p_w","p_20_val","p_20_m","p_20_w","p_30_val","p_30_m","p_30_w","p_40_val","p_40_m","p_40_w","p_50_val","p_50_m","p_50_w","p_60_val","p_60_m","p_60_w","d_csv","d_coffee","d_kfood","d_pharm","d_salon","sido_cd","sido_nm","버스정류장수","1km이내_버스정류장_수","500m이내_버스정류장_수","300m이내_버스정류장_수","200m이내_버스정류장_수","100m이내_버스정류장_수","당월_매출_금액","당월_매출_건수","개업_점포_수","폐업_점포_수"
647,"MULTIPOLYGON (((186077.73056383102 546787.328169156, 186077.19885792906 546887.3628498453, 186177.2335440457 546887.8945612126, 186177.7652499862 546787.859869631, 186077.73056383102 546787.328169156)))",다사419470,156,66,90,30,11,19,17,9,8,20,9,11,38,17,21,16,8,8,0,0,1,0,0,"11",서울특별시,0,27,8,3,2,0,1096672969.42857143,2070362.000000000000,17.0000000000000000,24.0000000000000000
648,"MULTIPOLYGON (((186077.19885792906 546887.3628498453, 186076.66714113485 546987.3975304964, 186176.7018272134 546987.929252756, 186177.2335440457 546887.8945612126, 186077.19885792906 546887.3628498453)))",다사419471,459,215,244,50,21,29,66,34,32,58,28,30,81,37,44,71,33,38,0,2,5,0,4,"11",서울특별시,0,32,7,4,0,0,576981273.58253968,1069375.000000000000,15.0000000000000000,23.0000000000000000
650,"MULTIPOLYGON (((186076.13541345 547087.4322111099, 186075.60367487167 547187.4668916846, 186175.63836087068 547187.9986357271, 186176.1700994886 547087.963944261, 186076.13541345 547087.4322111099)))",다사419473,405,216,189,44,17,27,43,29,14,58,39,19,64,37,27,87,38,49,0,1,0,0,2,"11",서울특별시,0,37,4,0,0,0,946900103.13968254,735407.666666666667,14.0000000000000000,19.6666666666666667
651,"MULTIPOLYGON (((186075.60367487167 547187.4668916846, 186075.07192540137 547287.501572218, 186175.10661136344 547288.0333271535, 186175.63836087068 547187.9986357271, 186075.60367487167 547187.4668916846)))",다사419474,214,109,105,18,10,8,24,12,12,34,17,17,30,14,16,40,17,23,1,0,0,0,0,"11",서울특별시,0,34,2,0,0,0,1226327706.69285715,802533.500000000000,12.5000000000000000,16.5000000000000000
652,"MULTIPOLYGON (((186075.07192540137 547287.501572218, 186074.54016504073 547387.5362527148, 186174.5748509618 547388.0680185411, 186175.10661136344 547288.0333271535, 186075.07192540137 547287.501572218)))",다사419475,630,310,320,62,30,32,62,35,27,114,62,52,83,40,43,122,54,68,0,0,0,0,2,"11",서울특별시,0,33,1,0,0,0,1226327706.69285715,802533.500000000000,12.5000000000000000,16.5000000000000000
796,"MULTIPOLYGON (((186781.69523390796 546090.8067736366, 186781.16360397998 546190.8415308519, 186881.19836661956 546191.3731662455, 186881.72999658875 546091.3383981386, 186781.69523390796 546090.8067736366)))",다사426463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11",서울특별시,0,33,5,0,0,0,0,0,0,0
959,"MULTIPOLYGON (((187478.74885678192 546694.7371461797, 187478.2171612151 546794.7719794028, 187578.25199986415 546795.3036804366, 187578.78369547176 546695.2688363212, 187478.74885678192 546694.7371461797)))",다사433469,310,157,153,32,18,14,25,13,12,57,25,32,58,32,26,38,18,20,0,3,5,0,4,"11",서울특별시,0,41,11,3,1,0,1067603073.67407408,889111.500000000000,30.5000000000000000,31.5000000000000000
960,"MULTIPOLYGON (((187478.2171612151 546794.7719794028, 187477.68545475783 546894.8068125847, 187577.72029336425 546895.3385245107, 187578.25199986415 546795.3036804366, 187478.2171612151 546794.7719794028)))",다사433470,370,177,193,39,23,16,38,24,14,58,27,31,65,33,32,43,23,20,0,1,1,0,1,"11",서울특별시,0,39,12,6,2,1,1898287987.14814815,1736616.000000000000,59.0000000000000000,54.0000000000000000
961,"MULTIPOLYGON (((187477.68545475783 546894.8068125847, 187477.15373740718 546994.8416457264, 187577.18857597362 546995.3733685439, 187577.72029336425 546895.3385245107, 187477.68545475783 546894.8068125847)))",다사433471,42,38,0,0,0,0,0,0,0,6,6,0,8,6,0,13,12,0,1,1,0,0,1,"11",서울특별시,2,38,13,6,3,2,1114771728.12579822,1183041.000000000000,40.0000000000000000,39.5000000000000000
962,"MULTIPOLYGON (((187477.15373740718 546994.8416457264, 187476.62200916244 547094.8764788276, 187576.65684768927 547095.408212536, 187577.18857597362 546995.3733685439, 187477.15373740718 546994.8416457264)))",다사433472,440,203,237,53,24,29,63,32,31,82,36,46,67,30,37,60,30,30,1,0,3,0,2,"11",서울특별시,1,38,14,6,3,1,1114771728.12579822,1183041.000000000000,40.0000000000000000,39.5000000000000000
963,"MULTIPOLYGON (((187476.62200916244 547094.8764788276, 187476.09027002746 547194.9113118892, 187576.12510851285 547195.4430564891, 187576.65684768927 547095.408212536, 187476.62200916244 547094.8764788276)))",다사433473,517,232,285,81,32,49,70,33,37,70,34,36,96,45,51,73,34,39,0,1,1,0,0,"11",서울특별시,0,33,15,6,1,1,331255469.10344828,629466.000000000000,21.0000000000000000,25.0000000000000000
964,"MULTIPOLYGON (((187476.09027002746 547194.9113118892, 187475.55852000153 547294.9461449062, 187575.59335844585 547295.4779004004, 187576.12510851285 547195.4430564891, 187476.09027002746 547194.9113118892)))",다사433474,390,188,202,56,27,29,66,39,27,50,26,24,70,34,36,60,26,34,0,1,0,0,2,"11",서울특별시,0,33,14,3,3,0,2991146965.32095491,3512191.500000000000,47.5000000000000000,52.0000000000000000
653,"MULTIPOLYGON (((186074.54016504073 547387.5362527148, 186074.00839378688 547487.5709331704, 186174.04307966953 547488.102709889, 186174.5748509618 547388.0680185411, 186074.54016504073 547387.5362527148)))",다사419476,328,163,165,33,19,14,51,26,25,41,20,21,55,28,27,59,26,33,0,0,0,0,0,"11",서울특별시,0,34,2,0,0,0,246225955.28571429,536607.000000000000,11.0000000000000000,19.0000000000000000
671,"MULTIPOLYGON (((186178.2969450355 546687.8251780091, 186177.7652499862 546787.859869631, 186277.7999470348 546788.391570145, 186278.33164212236 546688.3568676308, 186178.2969450355 546687.8251780091)))",다사420469,131,60,71,13,8,0,21,12,9,12,7,0,25,12,13,23,9,14,1,1,0,0,1,"11",서울특별시,1,26,6,4,2,2,706832875.38095238,1056011.500000000000,13.0000000000000000,15.0000000000000000
672,"MULTIPOLYGON (((186177.7652499862 546787.859869631, 186177.2335440457 546887.8945612126, 186277.2682410542 546888.4262726195, 186277.7999470348 546788.391570145, 186177.7652499862 546787.859869631)))",다사420470,494,254,240,65,37,28,85,40,45,82,47,35,75,37,38,61,25,36,0,2,1,0,0,"11",서울특별시,0,29,6,4,3,0,1096672969.42857143,2070362.000000000000,17.0000000000000000,24.0000000000000000
674,"MULTIPOLYGON (((186176.7018272134 546987.929252756, 186176.1700994886 547087.963944261, 186276.20479642032 547088.4956774517, 186276.73652418444 546988.4609750544, 186176.7018272134 546987.929252756)))",다사420472,17,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"11",서울특별시,0,34,4,2,0,0,246225955.28571429,536607.000000000000,11.0000000000000000,19.0000000000000000
675,"MULTIPOLYGON (((186176.1700994886 547087.963944261, 186175.63836087068 547187.9986357271, 186275.6730577635 547188.53037981, 186276.20479642032 547088.4956774517, 186176.1700994886 547087.963944261)))",다사420473,378,173,205,51,24,27,41,24,17,58,28,30,63,24,39,66,33,33,0,0,0,0,0,"11",서울특별시,0,36,4,1,0,0,246225955.28571429,536607.000000000000,11.0000000000000000,19.0000000000000000
676,"MULTIPOLYGON (((186175.63836087068 547187.9986357271, 186175.10661136344 547288.0333271535, 186275.14130821548 547288.5650821287, 186275.6730577635 547188.53037981, 186175.63836087068 547187.9986357271)))",다사420474,519,255,264,68,37,31,67,32,35,72,37,35,116,54,62,82,43,39,0,0,0,0,1,"11",서울특별시,0,35,2,0,0,0,1226327706.69285715,802533.500000000000,12.5000000000000000,16.5000000000000000
677,"MULTIPOLYGON (((186175.10661136344 547288.0333271535, 186174.5748509618 547388.0680185411, 186274.60954777568 547388.5997844064, 186275.14130821548 547288.5650821287, 186175.10661136344 547288.0333271535)))",다사420475,561,279,282,76,40,36,63,34,29,69,34,35,103,53,50,107,47,60,0,0,0,0,0,"11",서울특별시,0,35,2,0,0,0,246225955.28571429,536607.000000000000,11.0000000000000000,19.0000000000000000
678,"MULTIPOLYGON (((186174.5748509618 547388.0680185411, 186174.04307966953 547488.102709889, 186274.0777764457 547488.6344866465, 186274.60954777568 547388.5997844064, 186174.5748509618 547388.0680185411)))",다사420476,265,121,144,34,16,18,40,22,18,26,12,14,37,18,19,59,28,31,0,0,0,0,2,"11",서울특별시,0,33,2,0,0,0,246225955.28571429,536607.000000000000,11.0000000000000000,19.0000000000000000
428,"MULTIPOLYGON (((185378.55144431588 546583.5370579096, 185378.0197604673 546683.5716624291, 185478.0543704141 546684.1033517421, 185478.58605429978 546584.0687363312, 185378.55144431588 546583.5370579096)))",다사412468,283,144,139,37,24,13,42,27,15,35,16,19,45,22,23,52,26,26,0,0,0,0,0,"11",서울특별시,0,29,11,2,1,0,598544076.41935484,1151427.000000000000,14.0000000000000000,26.0000000000000000
723,"MULTIPOLYGON (((186374.64425548204 547389.1315503106, 186374.11248411043 547489.1662634437, 186474.14720266793 547489.6980402784, 186474.6789740782 547389.6633162559, 186374.64425548204 547389.1315503106)))",다사422476,635,333,302,83,46,37,90,54,36,102,53,49,114,57,57,103,47,56,1,0,0,0,0,"11",서울특별시,0,27,3,0,0,0,246225955.28571429,536607.000000000000,11.0000000000000000,19.0000000000000000
124,"MULTIPOLYGON (((184671.39674321943 547880.2641746708, 184670.8649180407 547980.2987024616, 184770.899451258 547980.8305331025, 184771.4312764731 547880.7959944208, 184671.39674321943 547880.2641746708)))",다사405481,98,49,49,6,0,0,0,0,0,10,8,0,10,7,0,7,0,7,0,0,0,0,0,"11",서울특별시,0,24,4,0,0,0,301774802.54166667,887839.000000000000,18.5000000000000000,21.0000000000000000
125,"MULTIPOLYGON (((184670.8649180407 547980.2987024616, 184670.33308197084 548080.3332302151, 184770.36761515215 548080.8650717475, 184770.899451258 547980.8305331025, 184670.8649180407 547980.2987024616)))",다사405482,75,45,30,0,0,0,6,0,0,7,0,0,16,10,6,23,13,10,0,0,0,0,0,"11",서울특별시,0,28,7,1,0,0,464283718.97222222,1374034.000000000000,22.0000000000000000,32.0000000000000000
126,"MULTIPOLYGON (((184670.33308197084 548080.3332302151, 184669.80123501152 548180.367757933, 184769.8357681572 548180.8996103562, 184770.36761515215 548080.8650717475, 184670.33308197084 548080.3332302151)))",다사405483,567,325,242,61,38,23,54,24,30,71,43,28,111,72,39,133,87,46,0,0,0,0,0,"11",서울특별시,0,29,10,2,0,0,464283718.97222222,1374034.000000000000,22.0000000000000000,32.0000000000000000
128,"MULTIPOLYGON (((184669.2693771621 548280.4022856128, 184668.73750842197 548380.4368132557, 184768.77204149304 548380.9686874591, 184769.30391027028 548280.9341489254, 184669.2693771621 548280.4022856128)))",다사405485,338,186,152,37,17,20,29,17,12,41,22,19,61,37,24,70,39,31,0,0,1,0,3,"11",서울특별시,0,34,12,7,4,0,259414121.914682538572,699479.500000000000,13.5000000000000000,18.0000000000000000
129,"MULTIPOLYGON (((184668.73750842197 548380.4368132557, 184668.20562879276 548480.4713408618, 184768.2401618248 548481.003225956, 184768.77204149304 548380.9686874591, 184668.73750842197 548380.4368132557)))",다사405486,313,149,164,41,16,25,77,37,40,31,20,11,47,25,22,43,21,22,1,1,2,0,1,"11",서울특별시,1,33,13,9,7,2,299303087.37072650,730953.000000000000,13.5000000000000000,18.0000000000000000
130,"MULTIPOLYGON (((184668.20562879276 548480.4713408618, 184667.67373827164 548580.5058684311, 184767.70827126727 548581.0377644161, 184768.2401618248 548481.003225956, 184668.20562879276 548480.4713408618)))",다사405487,309,150,159,41,22,19,39,18,21,41,18,23,49,28,21,63,32,31,0,1,1,0,1,"11",서울특별시,0,32,17,9,7,3,299303087.37072650,730953.000000000000,13.5000000000000000,18.0000000000000000
131,"MULTIPOLYGON (((184667.67373827164 548580.5058684311, 184667.14183686022 548680.5403959642, 184767.1763698198 548681.0723028373, 184767.70827126727 548581.0377644161, 184667.67373827164 548580.5058684311)))",다사405488,375,190,185,50,30,20,55,28,27,46,20,26,72,36,36,63,29,34,1,0,0,0,0,"11",서울특별시,2,30,17,10,6,4,432261124.46037296,465392.000000000000,10.5000000000000000,16.5000000000000000
132,"MULTIPOLYGON (((184667.14183686022 548680.5403959642, 184666.60992456012 548780.5749234598, 184766.64445748177 548781.1068412216, 184767.1763698198 548681.0723028373, 184667.14183686022 548680.5403959642)))",다사405489,77,53,24,9,6,0,7,0,0,0,0,0,19,13,6,21,17,0,0,2,1,0,0,"11",서울특별시,0,29,17,12,6,1,432261124.46037296,465392.000000000000,10.5000000000000000,16.5000000000000000
133,"MULTIPOLYGON (((184666.60992456012 548780.5749234598, 184666.07800137077 548880.6094509179, 184766.11253425485 548881.1413795712, 184766.64445748177 548781.1068412216, 184666.60992456012 548780.5749234598)))",다사405490,156,82,74,10,0,6,20,11,9,32,15,17,25,15,10,36,19,17,0,3,4,0,2,"11",서울특별시,0,31,17,9,5,2,730199793.15151515,842912.000000000000,16.0000000000000000,29.0000000000000000
744,"MULTIPOLYGON (((186474.6789740782 547389.6633162559, 186474.14720266793 547489.6980402784, 186574.18193211776 547490.2298171534, 186574.71370356609 547390.1950822395, 186474.6789740782 547389.6633162559)))",다사423476,554,275,279,79,40,39,63,31,32,84,41,43,98,53,45,93,46,47,0,0,0,0,0,"11",서울특별시,0,24,1,0,0,0,246225955.28571429,536607.000000000000,11.0000000000000000,19.0000000000000000
764,"MULTIPOLYGON (((186575.77721378946 547190.1256122926, 186575.2454641231 547290.1603472851, 186675.28020454448 547290.6921024175, 186675.811954249 547190.657356532, 186575.77721378946 547190.1256122926)))",다사424474,204,95,109,20,10,10,22,10,12,23,11,12,43,21,22,34,18,16,0,0,0,0,0,"11",서울특별시,0,23,7,1,0,0,246225955.28571429,536607.000000000000,11.0000000000000000,19.0000000000000000
766,"MULTIPOLYGON (((186574.71370356609 547390.1950822395, 186574.18193211776 547490.2298171534, 186674.21667245732 547490.7615940674, 186674.74844394746 547390.7268482627, 186574.71370356609 547390.1950822395)))",다사424476,153,82,71,22,17,0,28,14,14,16,10,6,25,9,16,27,18,9,0,0,0,0,0,"11",서울특별시,0,25,2,0,0,0,1963720120.50000000,3500968.500000000000,36.0000000000000000,48.0000000000000000
916,"MULTIPOLYGON (((187276.02062573217 547193.847822807, 187275.4888757859 547293.8826340417, 187375.52369244883 547294.4143894538, 187376.05544243526 547194.3795673269, 187276.02062573217 547193.847822807)))",다사431474,521,247,274,85,33,52,87,54,33,64,36,28,99,36,63,77,36,41,0,0,1,0,0,"11",서울특별시,0,31,12,2,0,0,2074673996.88063661,2488957.666666666667,35.0000000000000000,38.6666666666666667
177,"MULTIPOLYGON (((184767.1763698198 548681.0723028373, 184766.64445748177 548781.1068412216, 184866.6790012946 548781.6387590236, 184867.2109136677 548681.6042097477, 184767.1763698198 548681.0723028373)))",다사406489,300,144,156,34,17,17,47,21,26,44,21,23,54,25,29,46,22,24,0,0,1,0,1,"11",서울특별시,0,32,19,9,6,0,730199793.15151515,842912.000000000000,16.0000000000000000,29.0000000000000000
178,"MULTIPOLYGON (((184766.64445748177 548781.1068412216, 184766.11253425485 548881.1413795712, 184866.14707802844 548881.6733082626, 184866.6790012946 548781.6387590236, 184766.64445748177 548781.1068412216)))",다사406490,364,186,178,44,25,19,41,24,17,43,21,22,70,35,35,72,33,39,0,1,0,0,1,"11",서울특별시,1,34,17,10,3,2,730199793.15151515,842912.000000000000,16.0000000000000000,29.0000000000000000
180,"MULTIPOLYGON (((184765.58060013835 548981.1759178818, 184765.04865513174 549081.2104561557, 184865.08319883244 549081.7424066238, 184865.61514387533 548981.707857462, 184765.58060013835 548981.1759178818)))",다사406492,286,141,145,27,14,13,38,19,19,52,25,27,38,22,16,41,15,26,0,0,0,0,0,"11",서울특별시,0,36,12,5,2,0,219622225.44444444,150535.000000000000,15.0000000000000000,17.0000000000000000
181,"MULTIPOLYGON (((184765.04865513174 549081.2104561557, 184764.51669923658 549181.2449943934, 184864.55124289912 549181.7769557496, 184865.08319883244 549081.7424066238, 184765.04865513174 549081.2104561557)))",다사406493,503,256,247,79,49,30,62,31,31,71,34,37,103,48,55,81,43,38,0,0,0,0,1,"11",서울특별시,0,40,8,3,0,0,219622225.44444444,150535.000000000000,15.0000000000000000,17.0000000000000000
182,"MULTIPOLYGON (((184764.51669923658 549181.2449943934, 184763.9847324523 549281.2795325915, 184864.01927607926 549281.8115048392, 184864.55124289912 549181.7769557496, 184764.51669923658 549181.2449943934)))",다사406494,619,302,317,66,29,37,82,42,40,111,60,51,97,42,55,98,46,52,0,0,0,0,0,"11",서울특별시,0,39,7,0,0,0,219622225.44444444,150535.000000000000,15.0000000000000000,17.0000000000000000
183,"MULTIPOLYGON (((184763.9847324523 549281.2795325915, 184763.4527547783 549381.3140707542, 184863.48729836775 549381.8460538891, 184864.01927607926 549281.8115048392, 184763.9847324523 549281.2795325915)))",다사406495,599,291,308,57,29,28,69,35,34,121,59,62,99,50,49,71,32,39,1,0,0,0,0,"11",서울특별시,0,38,4,0,0,0,219622225.44444444,150535.000000000000,15.0000000000000000,17.0000000000000000
184,"MULTIPOLYGON (((184763.4527547783 549381.3140707542, 184762.92076621615 549481.3486088801, 184862.95530976847 549481.8806029044, 184863.48729836775 549381.8460538891, 184763.4527547783 549381.3140707542)))",다사406496,499,253,246,53,33,20,61,27,34,101,50,51,76,36,40,53,27,26,0,0,0,0,0,"11",서울특별시,0,38,0,0,0,0,219622225.44444444,150535.000000000000,15.0000000000000000,17.0000000000000000
917,"MULTIPOLYGON (((187275.4888757859 547293.8826340417, 187274.95711494947 547393.9174452374, 187374.99193157037 547394.4492115424, 187375.52369244883 547294.4143894538, 187275.4888757859 547293.8826340417)))",다사431475,420,215,205,47,26,21,53,35,18,50,24,26,69,35,34,72,35,37,0,0,0,0,2,"11",서울특별시,0,28,9,3,0,0,2074673996.88063661,2488957.666666666667,35.0000000000000000,38.6666666666666667
919,"MULTIPOLYGON (((187274.42534321995 547493.9522563927, 187273.89356059892 547593.987067507, 187373.92837713915 547594.5188555929, 187374.46015980147 547494.4840335879, 187274.42534321995 547493.9522563927)))",다사431477,341,159,182,57,23,34,64,32,32,54,30,24,49,26,23,47,19,28,1,0,1,0,0,"11",서울특별시,0,26,4,0,0,0,241728060.00000000,442490.000000000000,10.0000000000000000,12.0000000000000000
56,"MULTIPOLYGON (((184469.2003436204 548279.3385590945, 184468.66847495415 548379.3730649593, 184568.70298624222 548379.9049390898, 184569.23485494684 548279.8704223363, 184469.2003436204 548279.3385590945)))",다사403485,431,237,194,47,23,24,38,21,17,44,31,13,84,47,37,87,52,35,1,0,0,0,0,"11",서울특별시,0,24,10,1,0,0,259414121.914682538572,699479.500000000000,13.5000000000000000,18.0000000000000000
939,"MULTIPOLYGON (((187376.05544243526 547194.3795673269, 187375.52369244883 547294.4143894538, 187475.55852000153 547294.9461449062, 187476.09027002746 547194.9113118892, 187376.05544243526 547194.3795673269)))",다사432474,432,214,218,76,33,43,73,43,30,72,34,38,72,34,38,65,34,31,0,0,0,0,2,"11",서울특별시,0,29,13,3,0,0,2991146965.32095491,3512191.500000000000,47.5000000000000000,52.0000000000000000
940,"MULTIPOLYGON (((187375.52369244883 547294.4143894538, 187374.99193157037 547394.4492115424, 187475.02675908172 547394.9809778857, 187475.55852000153 547294.9461449062, 187375.52369244883 547294.4143894538)))",다사432475,211,112,99,33,19,14,32,16,16,27,12,15,36,22,14,46,24,22,0,0,2,0,2,"11",서울특별시,0,27,11,2,1,0,2946383260.76923077,3418703.500000000000,42.0000000000000000,45.5000000000000000
941,"MULTIPOLYGON (((187374.99193157037 547394.4492115424, 187374.46015980147 547494.4840335879, 187474.49498727184 547495.0158108234, 187475.02675908172 547394.9809778857, 187374.99193157037 547394.4492115424)))",다사432476,426,216,210,71,31,40,91,51,40,47,27,20,68,32,36,69,29,40,0,2,1,0,0,"11",서울특별시,0,27,7,2,0,0,241728060.00000000,442490.000000000000,10.0000000000000000,12.0000000000000000
942,"MULTIPOLYGON (((187374.46015980147 547494.4840335879, 187373.92837713915 547594.5188555929, 187473.96320457122 547595.0506437193, 187474.49498727184 547495.0158108234, 187374.46015980147 547494.4840335879)))",다사432477,364,193,171,36,22,14,54,28,26,54,34,20,50,26,24,65,27,38,0,1,1,0,2,"11",서울특별시,0,27,6,2,0,0,241728060.00000000,442490.000000000000,10.0000000000000000,12.0000000000000000
1080,"MULTIPOLYGON (((187874.6344060728 547497.1429201739, 187874.10262320773 547597.1777966352, 187974.1375050954 547597.7095849676, 187974.6692880021 547497.6746976147, 187874.6344060728 547497.1429201739)))",다사437477,170,74,96,29,10,19,48,26,22,30,10,20,16,9,7,19,8,11,0,4,3,0,4,"11",서울특별시,0,30,8,3,2,0,5651038461.53846154,6394917.000000000000,74.0000000000000000,79.0000000000000000
213,"MULTIPOLYGON (((184871.99763498025 547781.2932645984, 184871.46582061914 547881.327814209, 184971.50037565717 547881.8596340342, 184972.03219005605 547781.8250735333, 184871.99763498025 547781.2932645984)))",다사407480,349,176,173,35,16,19,47,30,17,61,32,29,59,28,31,60,26,34,0,0,0,0,0,"11",서울특별시,0,28,5,3,0,0,139265886.111111110000,401644.000000000000,15.0000000000000000,10.0000000000000000
214,"MULTIPOLYGON (((184871.46582061914 547881.327814209, 184870.9339953683 547981.3623637817, 184970.9685503667 547981.894194499, 184971.50037565717 547881.8596340342, 184871.46582061914 547881.327814209)))",다사407481,365,179,186,52,25,27,49,25,24,46,30,16,56,23,33,68,40,28,0,0,0,0,0,"11",서울특별시,0,34,7,3,1,0,139265886.111111110000,401644.000000000000,15.0000000000000000,10.0000000000000000
215,"MULTIPOLYGON (((184870.9339953683 547981.3623637817, 184870.40215922482 548081.3969133181, 184970.43671418622 548081.9287549255, 184970.9685503667 547981.894194499, 184870.9339953683 547981.3623637817)))",다사407482,494,234,260,56,27,29,67,27,40,78,37,41,91,39,52,65,32,33,1,1,0,0,1,"11",서울특별시,0,39,10,3,3,0,301774802.54166667,887839.000000000000,18.5000000000000000,21.0000000000000000
217,"MULTIPOLYGON (((184869.87031219038 548181.4314628162, 184869.33845426657 548281.4660122762, 184969.37300915507 548281.9978756646, 184969.90486711514 548181.9633153124, 184869.87031219038 548181.4314628162)))",다사407484,153,83,70,16,7,9,16,9,7,29,16,13,42,24,18,35,21,14,0,0,0,0,0,"11",서울특별시,0,39,13,6,3,1,516194079.26736111,1091632.000000000000,23.0000000000000000,36.5000000000000000
226,"MULTIPOLYGON (((184865.08319883244 549081.7424066238, 184864.55124289912 549181.7769557496, 184964.5857974527 549182.3089171461, 184965.1177534213 549082.274357131, 184865.08319883244 549081.7424066238)))",다사407493,51,20,31,8,0,6,0,0,0,6,0,0,12,6,6,8,0,0,1,1,0,0,0,"11",서울특별시,0,39,8,4,0,0,219622225.44444444,150535.000000000000,15.0000000000000000,17.0000000000000000
